 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_T7,rel_flux_T8,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_T7,rel_flux_err_T8,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_T7,rel_flux_SNR_T8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_T7,Y(IJ)_T7,X(FITS)_T7,Y(FITS)_T7,RA_T7,DEC_T7,Source-Sky_T7,Source_Error_T7,Source_SNR_T7,Peak_T7,Mean_T7,Sky/Pixel_T7,FWHM_T7,Width_T7,X-Width_T7,Y-Width_T7,Angle_T7,Roundness_T7,X(IJ)_T8,Y(IJ)_T8,X(FITS)_T8,Y(FITS)_T8,RA_T8,DEC_T8,Source-Sky_T8,Source_Error_T8,Source_SNR_T8,Peak_T8,Mean_T8,Sky/Pixel_T8,FWHM_T8,Width_T8,X-Width_T8,Y-Width_T8,Angle_T8,Roundness_T8
1,WASP-12b_00040_clean.fits,1.000000,65053.000000,56319.514498,2456319.514498,2456319.513919,2456319.519373,2456319.520137,1.369313,46.841619,-20.000000,100.000000,6.509110,29.672297,11.478480,18.000000,32.000000,48.000000,0.139971,0.089470,0.139067,0.746581,0.456658,0.058021,0.816355,0.973550,0.000209,0.000201,0.000230,0.000702,0.000451,0.000182,0.000523,0.000598,668.966836,446.018241,605.227744,1063.699535,1013.149661,318.479223,1559.654432,1627.242054,8415593.300560,4049.123651,2400.081735,2010.239609,2400.581735,2086.260391,6.509100,29.672475,1177936.390040,1017.876020,1667.124591,706.567701,11007.000000,1157.249377,1205.864452,3419.000000,12.325240,13.454981,13.081828,13.828134,79.475388,0.996473,2431.118244,2340.323785,2431.618244,1756.176215,6.508846,29.707730,691108.797861,1512.629292,456.892380,7179.000000,678.971490,1204.700119,11.903624,13.340702,13.001666,13.679738,80.914145,0.997142,2744.584117,2690.881086,2745.084117,1405.618914,6.506276,29.745169,1027445.822971,1617.222781,635.314958,10667.000000,1009.401738,1204.494636,11.120202,13.085162,12.798017,13.372307,83.791732,0.997982,2162.086461,1595.426002,2162.586461,2501.073998,6.511053,29.628168,3597269.381032,2278.745729,1578.618156,30724.000000,3534.093850,1213.158015,12.169663,13.388823,13.065842,13.711804,82.386467,0.997503,2963.367022,983.265750,2963.867022,3113.234250,6.504507,29.562675,2638264.077666,2060.991951,1280.094314,25456.000000,2591.930674,1214.537207,10.839420,12.871479,12.624614,13.118343,68.580632,0.997266,1204.749417,2252.512850,1205.249417,1843.987150,6.518908,29.698136,461505.221030,1432.332195,322.205437,5823.000000,453.400230,1206.649595,11.396220,13.161178,12.601412,13.720944,82.228139,0.992233,1159.025057,3174.238257,1159.525057,922.261743,6.519313,29.796449,6870112.878102,2911.462140,2359.677903,65053.000000,6749.459408,1219.358196,9.795084,12.824228,12.451707,13.196749,69.326408,0.994021,1891.298513,1256.754959,1891.798513,2839.745041,6.513274,29.591988,8193002.303601,3132.198059,2615.735707,64811.000000,8049.116144,1224.574437,12.278389,13.315002,12.968424,13.661580,83.322747,0.997141
2,WASP-12b_00041_clean.fits,2.000000,61019.000000,56319.515877,2456319.515877,2456319.515298,2456319.520752,2456319.521516,1.360719,47.230696,-19.940000,100.000000,6.509110,29.672297,10.478572,18.000000,32.000000,48.000000,0.139764,0.089105,0.138688,0.747341,0.458051,0.057680,0.821458,0.978108,0.000210,0.000201,0.000231,0.000706,0.000454,0.000183,0.000529,0.000604,665.978101,443.182632,600.197390,1058.123839,1008.828769,315.145862,1554.117590,1620.514707,8336648.368826,4031.982508,2400.455207,2014.884373,2400.955207,2081.615627,6.509099,29.672450,1165167.096782,1017.876020,1656.317736,703.468345,9785.000000,1144.704339,1199.929125,3435.000000,11.074769,14.299768,14.161952,14.437584,300.984983,0.998318,2431.479695,2345.023424,2431.979695,1751.476576,6.508845,29.707725,682064.178794,1502.468304,453.962441,6370.000000,670.085713,1199.905494,11.070471,14.282278,14.115063,14.449492,295.814931,0.998577,2744.976548,2695.534966,2745.476548,1400.965034,6.506275,29.745165,1015370.722434,1612.218682,629.797144,9433.000000,997.538701,1197.868135,10.361943,14.171775,14.130606,14.212944,309.241647,0.999153,2162.461875,1600.039870,2162.961875,2496.460130,6.511052,29.628137,3565600.497648,2270.226082,1570.592694,27079.000000,3502.981138,1208.081638,11.103542,14.365666,14.250531,14.480801,303.726931,0.998253,2963.770096,987.896328,2964.270096,3108.603672,6.504505,29.562625,2618980.611326,2052.436160,1276.035115,22513.000000,2572.985865,1206.211527,10.077445,13.978012,13.907005,14.049019,295.723925,0.999734,1204.996208,2257.191714,1205.496208,1839.308286,6.518907,29.698105,454632.358624,1426.114375,318.790952,4779.000000,446.648069,1198.849798,10.038036,14.138099,13.927645,14.348554,293.211493,0.998136,1159.270773,3179.042755,1159.770773,917.457245,6.519313,29.796522,6848202.631685,2906.394001,2356.254048,60538.000000,6727.933951,1214.006351,9.309707,13.956803,13.880103,14.033503,280.783703,0.999860,1891.635047,1261.348578,1892.135047,2835.151422,6.513274,29.591955,8154141.914540,3125.116656,2609.228010,61019.000000,8010.938225,1221.754003,10.792662,14.339024,14.231573,14.446474,303.816303,0.998449
3,WASP-12b_00042_clean.fits,3.000000,64537.000000,56319.517256,2456319.517256,2456319.516677,2456319.522131,2456319.522895,1.352290,47.619962,-19.930000,100.000000,6.509110,29.672297,11.654899,18.000000,32.000000,48.000000,0.140201,0.089159,0.138923,0.746450,0.458187,0.057681,0.819187,0.974009,0.000207,0.000198,0.000227,0.000696,0.000448,0.000180,0.000521,0.000594,677.251030,450.337597,611.702789,1072.736764,1022.671240,321.162376,1571.901153,1639.113731,8458418.050103,4032.650782,2400.251764,2018.256523,2400.751764,2078.243477,6.509105,29.672514,1185877.514434,1017.876020,1657.227162,715.579337,10250.000000,1165.051039,1184.070643,3373.000000,12.388068,13.509954,13.225705,13.794202,88.990117,0.998229,2431.349599,2348.356991,2431.849599,1748.143009,6.508851,29.707781,692410.166143,1500.882728,461.335288,6683.000000,680.250004,1182.993610,12.196023,13.371168,13.055965,13.686371,80.278247,0.997503,2744.819605,2698.805099,2745.319605,1397.694901,6.506281,29.745206,1031736.333146,1606.482000,642.233360,9903.000000,1013.616897,1182.642254,11.346585,13.282781,13.039088,13.526474,77.286475,0.998350,2162.231786,1603.423635,2162.731786,2493.076365,6.511058,29.628202,3615212.506065,2277.227270,1587.550155,27934.000000,3551.721856,1191.522306,12.448142,13.521686,13.324431,13.718941,80.260028,0.999043,2963.575873,991.338167,2964.075873,3105.161833,6.504508,29.562699,2657777.340028,2056.101029,1292.629741,23827.000000,2611.101243,1191.011005,10.833839,12.947019,12.781093,13.112945,60.909920,0.997637,1204.910262,2260.424833,1205.410262,1836.075167,6.518912,29.698168,461281.704721,1419.691328,324.916900,5143.000000,453.180639,1184.810550,11.575893,13.220615,12.825155,13.616075,85.009312,0.996317,1159.230645,3182.233608,1159.730645,914.266392,6.519317,29.796569,6929025.971216,2918.538188,2374.142644,64537.000000,6807.337865,1198.589667,9.941923,12.910027,12.637452,13.182602,67.156725,0.996349,1891.479491,1264.833845,1891.979491,2831.666155,6.513278,29.592025,8238579.220327,3136.106291,2627.008927,62485.000000,8093.892636,1204.846724,12.508719,13.412981,13.178001,13.647962,86.128739,0.998750
4,WASP-12b_00043_clean.fits,4.000000,65044.000000,56319.518635,2456319.518635,2456319.518056,2456319.523510,2456319.524274,1.344024,48.009346,-19.960000,100.000000,6.509110,29.672297,12.332187,18.000000,32.000000,48.000000,0.140349,0.089340,0.138737,0.745783,0.458656,0.057669,0.820886,0.975337,0.000207,0.000198,0.000228,0.000696,0.000448,0.000180,0.000522,0.000595,677.937421,450.810359,609.612311,1071.969479,1022.791651,320.379855,1572.324408,1639.099732,8465333.802827,4039.119158,2401.099375,2016.732493,2401.599375,2079.767507,6.509101,29.672557,1188098.813771,1017.876020,1658.302476,716.454827,10568.000000,1167.233328,1190.018476,3421.000000,13.039623,13.911402,13.631376,14.191429,76.369116,0.997951,2432.205658,2346.826060,2432.705658,1749.673940,6.508847,29.707822,694265.297771,1503.175867,461.865649,6800.000000,682.072555,1188.999136,12.738643,13.844535,13.584764,14.104306,71.216343,0.997760,2745.692685,2697.306960,2746.192685,1399.193040,6.506278,29.745251,1031367.628089,1611.930533,639.833794,10281.000000,1013.254668,1187.926765,11.763530,13.515484,13.314614,13.716353,71.793171,0.998636,2163.122722,1601.935745,2163.622722,2494.564255,6.511053,29.628251,3616316.115031,2279.796812,1586.244922,28682.000000,3552.806083,1198.537366,13.084902,13.877343,13.675466,14.079220,74.129360,0.998830,2964.454624,989.831095,2964.954624,3106.668905,6.504506,29.562745,2661818.684815,2056.962405,1294.053152,23800.000000,2615.071613,1196.423753,11.862278,13.356043,13.161342,13.550744,60.876153,0.996932,1205.821017,2258.997590,1206.321017,1837.502410,6.518908,29.698207,461566.077122,1424.099015,324.110945,5202.000000,453.460017,1190.623851,12.422494,13.517625,13.128872,13.906378,79.517292,0.996212,1160.134820,3180.763925,1160.634820,915.736075,6.519313,29.796590,6949075.257116,2922.234316,2378.000703,65044.000000,6827.035044,1202.621510,10.749225,13.195807,12.921770,13.469843,62.128038,0.994560,1892.348162,1263.284504,1892.848162,2833.215496,6.513275,29.592070,8256550.197394,3139.138412,2630.196287,64213.000000,8111.548005,1209.578486,12.996802,13.788064,13.566236,14.009891,82.291634,0.998887
5,WASP-12b_00044_clean.fits,5.000000,0.000000,56319.520014,2456319.520014,2456319.519435,2456319.524889,2456319.525653,1.335915,48.398866,-20.000000,100.000000,6.509110,29.672297,13.319026,18.000000,32.000000,48.000000,0.139866,0.089305,0.138859,0.746514,0.458122,0.057609,0.825555,0.980286,0.000209,0.000201,0.000230,0.000704,0.000453,0.000182,0.000529,0.000603,667.638039,444.436577,603.136577,1060.488700,1011.759180,316.248723,1559.163576,1624.669539,8347341.601001,4026.922393,2400.294448,2012.428280,2400.794448,2084.071720,6.509107,29.672434,1167506.229163,1017.876020,1655.525780,705.217788,7306.000000,1147.002392,1191.517513,3418.000000,13.782411,15.514743,15.868477,15.161009,16.497616,0.997047,2431.373593,2342.631355,2431.873593,1753.868645,6.508852,29.707709,684346.129183,1503.227926,455.251075,4811.000000,672.327588,1188.411520,13.872644,15.388925,15.702959,15.074891,23.241799,0.996490,2744.862277,2693.027070,2745.362277,1403.472930,6.506280,29.745132,1017777.971539,1607.710658,633.060412,6872.000000,999.903674,1188.950782,13.053849,15.318333,15.727220,14.909446,18.494631,0.995539,2162.321710,1597.585909,2162.821710,2498.914091,6.511060,29.628119,3567911.577435,2270.483149,1571.432749,19374.000000,3505.251630,1198.900502,14.136296,15.538805,15.949838,15.127773,13.654770,0.996460,2963.615899,985.443690,2964.115899,3111.056310,6.504511,29.562595,2622619.918895,2048.554709,1280.229377,16648.000000,2576.561259,1198.539470,12.417599,15.001251,15.467741,14.534760,21.104460,0.992963,1204.826175,2254.746507,1205.326175,1841.753493,6.518915,29.698103,454686.003948,1421.269177,319.915475,3697.000000,446.700772,1190.889843,13.437547,15.353465,15.660139,15.046792,18.654431,0.997479,1159.180964,3176.488778,1159.680964,920.011222,6.519318,29.796442,6891192.922524,2912.505904,2366.070027,44018.000000,6770.169243,1206.536181,11.949534,15.023438,15.429256,14.617621,24.476757,0.993241,1891.533382,1258.930781,1892.033382,2837.569219,6.513280,29.591935,8182778.917805,3127.957419,2616.013526,43945.000000,8039.072302,1212.135167,13.902330,15.454718,15.869299,15.040137,12.993150,0.996443
6,WASP-12b_00045_clean.fits,6.000000,0.000000,56319.521393,2456319.521393,2456319.520815,2456319.526268,2456319.527033,1.327962,48.788558,-20.040000,100.000000,6.509110,29.672297,12.519797,18.000000,32.000000,48.000000,0.140259,0.089064,0.138632,0.746251,0.459085,0.057622,0.826697,0.979150,0.000209,0.000199,0.000228,0.000700,0.000451,0.000180,0.000528,0.000600,672.422938,446.754518,607.511585,1066.742810,1017.649971,319.437606,1566.893893,1632.214530,8373646.620414,4014.587943,2395.794239,2016.683340,2396.294239,2079.816660,6.509102,29.672492,1174481.649015,1017.876020,1653.388335,710.348334,7789.000000,1153.855309,1174.527039,3427.000000,13.162388,15.291707,14.998885,15.584529,295.951620,0.996150,2426.871280,2346.797028,2427.371280,1749.702972,6.508847,29.707764,684798.102266,1496.490125,457.602821,5199.000000,672.771623,1175.070966,13.046915,15.186035,14.889060,15.483009,295.172005,0.996247,2740.314160,2697.342472,2740.814160,1399.157528,6.506278,29.745206,1019518.821543,1598.650730,637.737063,7714.000000,1001.613951,1174.417973,12.123174,14.954888,14.722659,15.187117,300.170444,0.996063,2157.823150,1601.878728,2158.323150,2494.621272,6.511054,29.628182,3578433.027613,2267.160463,1578.376602,21537.000000,3515.588302,1184.561739,13.229671,15.270599,14.980853,15.560345,296.619927,0.995982,2959.100502,989.847901,2959.600502,3106.652099,6.504509,29.562665,2634676.281235,2046.674822,1287.295985,17559.000000,2588.405886,1183.571225,11.910891,14.823089,14.605894,15.040285,292.662370,0.998263,1200.340174,2259.098463,1200.840174,1837.401537,6.518908,29.698142,456220.387757,1411.685201,323.174308,3957.000000,448.208209,1176.012260,12.645780,15.053217,14.657869,15.448566,296.074107,0.992683,1154.605866,3180.861289,1155.105866,915.638711,6.519314,29.796533,6922469.531438,2916.091280,2373.886434,47292.000000,6800.896570,1189.614414,11.134482,14.737444,14.568555,14.906333,297.078893,0.998468,1886.969393,1263.319028,1887.469393,2833.180972,6.513276,29.592011,8199057.495156,3127.524362,2621.580696,48140.000000,8055.064994,1198.483805,12.905074,15.148974,14.844497,15.453452,297.437969,0.995123
7,WASP-12b_00046_clean.fits,7.000000,0.000000,56319.522773,2456319.522773,2456319.522194,2456319.527648,2456319.528412,1.320161,49.178300,-20.060000,100.000000,6.509110,29.672297,12.312776,18.000000,32.000000,48.000000,0.140168,0.088975,0.138806,0.745751,0.459070,0.057748,0.825741,0.980527,0.000208,0.000199,0.000229,0.000700,0.000452,0.000182,0.000528,0.000601,673.278363,447.563878,605.889348,1065.198332,1016.251383,317.741370,1564.946748,1630.785488,8369191.499818,4019.004008,2403.614129,2021.578962,2404.114129,2074.921038,6.509097,29.672314,1173089.563551,1017.876020,1648.773388,711.492296,7821.000000,1152.487671,1177.592898,3405.000000,12.965777,15.265729,15.302008,15.229450,324.811130,0.999800,2434.599546,2351.753150,2435.099546,1744.746850,6.508843,29.707597,683809.159103,1491.325423,458.524443,5165.000000,671.800048,1176.949214,12.594868,15.146064,15.153889,15.138240,34.149838,0.999992,2748.114422,2702.216340,2748.614422,1394.283660,6.506273,29.745054,1020097.861250,1604.057014,635.948630,7638.000000,1002.182821,1176.019270,11.771505,15.068409,15.138405,14.998413,8.847534,0.999905,2165.564408,1606.685854,2166.064408,2489.814146,6.511050,29.627996,3575156.448475,2267.387494,1576.773471,21459.000000,3512.369266,1185.379643,13.096312,15.292775,15.323910,15.261640,322.932187,0.999778,2966.965172,994.529369,2967.465172,3101.970631,6.504504,29.562549,2633213.769231,2047.818102,1285.863118,18177.000000,2586.969059,1185.178674,11.713326,14.852754,15.017870,14.687639,7.287658,0.999472,1208.110482,2263.844659,1208.610482,1832.655341,6.518905,29.697980,456914.261759,1421.526564,321.425060,3969.000000,448.889897,1176.931314,12.452636,15.150319,15.166683,15.133955,327.041928,0.999972,1162.460825,3185.604305,1162.960825,910.895695,6.519311,29.796440,6910782.370382,2913.323867,2372.129803,49189.000000,6789.414660,1192.660505,11.123291,14.759835,14.905623,14.614046,24.975616,0.999058,1894.756962,1267.991053,1895.256962,2828.508947,6.513271,29.591822,8206218.055772,3129.253674,2622.420203,47693.000000,8062.099800,1199.480764,12.784491,15.211405,15.325455,15.097355,330.782706,0.999180
8,WASP-12b_00047_clean.fits,8.000000,0.000000,56319.524152,2456319.524152,2456319.523573,2456319.529027,2456319.529791,1.312510,49.568144,-20.000000,100.000000,6.509110,29.672297,19.090952,18.000000,32.000000,48.000000,0.139554,0.088721,0.138856,0.746856,0.458854,0.057653,0.829460,0.985267,0.000211,0.000202,0.000231,0.000707,0.000455,0.000183,0.000533,0.000608,662.672475,440.284141,599.962502,1056.391267,1007.993446,315.096399,1554.769171,1620.027344,8291002.048151,4016.018256,2401.077154,2023.251432,2401.577154,2073.248568,6.509098,29.672306,1157041.594337,1017.876020,1653.629989,699.697999,5192.000000,1136.721538,1190.652547,3426.000000,19.673821,17.615903,17.311739,17.920067,73.148922,0.998278,2432.168102,2353.356052,2432.668102,1743.143948,6.508843,29.707587,675643.127059,1498.533170,450.869651,3605.000000,663.777429,1188.858353,19.543876,17.482376,17.166534,17.798219,75.371199,0.998286,2745.644454,2703.797939,2746.144454,1392.702061,6.506273,29.745045,1010885.318744,1605.510967,629.634639,4832.000000,993.132070,1187.480652,18.862122,17.186228,16.908309,17.464147,76.928271,0.998703,2163.121757,1608.455171,2163.621757,2488.044829,6.511050,29.627990,3544758.614623,2262.345070,1566.851433,13122.000000,3482.505281,1197.535847,19.814231,17.575937,17.320434,17.831440,75.127266,0.998879,2964.313921,996.512566,2964.813921,3099.987434,6.504504,29.562544,2607772.343330,2043.683219,1276.015930,10483.000000,2561.974438,1196.644130,18.710748,17.000623,16.750576,17.250670,61.445899,0.997067,1205.987006,2265.449102,1206.487006,1831.050898,6.518904,29.697973,451942.644396,1417.846674,318.752833,2911.000000,444.005592,1190.561359,18.916083,17.174420,16.740272,17.608567,75.511771,0.996664,1160.230864,3187.166161,1160.730864,909.333839,6.519310,29.796439,6877055.161774,2910.033239,2363.222203,28937.000000,6756.279771,1205.617716,17.509432,16.754873,16.416406,17.093340,64.812476,0.995990,1892.385127,1269.845382,1892.885127,2826.654618,6.513271,29.591817,8168849.192023,3125.585504,2613.542065,28748.000000,8025.387212,1212.100992,19.697303,17.477858,17.202130,17.753586,77.823431,0.998801
9,WASP-12b_00048_clean.fits,9.000000,0.000000,56319.525531,2456319.525531,2456319.524952,2456319.530406,2456319.531170,1.305005,49.958075,-19.960000,100.000000,6.509110,29.672297,19.073044,18.000000,32.000000,48.000000,0.139618,0.089099,0.138503,0.745595,0.459767,0.057583,0.828913,0.984473,0.000206,0.000198,0.000227,0.000695,0.000449,0.000179,0.000526,0.000599,676.294772,450.834115,609.811077,1073.163276,1023.614098,321.227016,1576.621232,1642.770478,8431994.387046,4018.567197,2398.407492,2017.451547,2398.907492,2079.048453,6.509097,29.672298,1177260.478956,1017.876020,1647.852542,714.421011,5573.000000,1156.585337,1170.147682,3338.000000,19.985047,17.489545,17.176394,17.802697,62.613757,0.996148,2429.388827,2347.455205,2429.888827,1749.044795,6.508843,29.707566,689822.414721,1493.560082,461.864523,3874.000000,677.707699,1169.024623,19.597397,17.380898,17.064508,17.697289,63.929622,0.996483,2742.794860,2697.937140,2743.294860,1398.562860,6.506274,29.745026,1025782.246632,1602.829628,639.982085,5385.000000,1007.767377,1169.435352,18.772074,16.981305,16.710793,17.251818,64.477335,0.997433,2160.440286,1602.642064,2160.940286,2493.857936,6.511049,29.627980,3601553.498523,2268.583561,1587.578065,14083.000000,3538.302729,1178.001416,19.739473,17.480731,17.212870,17.748593,63.153869,0.997322,2961.570459,990.871779,2962.070459,3105.628221,6.504505,29.562548,2655733.597286,2051.072511,1294.802394,11524.000000,2609.093392,1177.355883,18.617672,16.755530,16.534792,16.976267,54.736464,0.993755,1203.173322,2259.733365,1203.673322,1836.766635,6.518904,29.697969,459102.629884,1412.702364,324.981851,3082.000000,451.039833,1170.185470,18.969622,17.047149,16.567663,17.526635,68.637964,0.994146,1157.440020,3181.402663,1157.940020,915.097337,6.519311,29.796418,6989393.691910,2925.223948,2389.353368,32349.000000,6866.645403,1183.416099,17.289512,16.356635,16.099199,16.614072,54.874768,0.991326,1889.715211,1264.123113,1890.215211,2832.376887,6.513270,29.591814,8301072.855943,3143.637727,2640.594616,31361.000000,8155.288753,1190.482924,19.613557,17.310376,17.026919,17.593834,66.684423,0.997727
10,WASP-12b_00049_clean.fits,10.000000,0.000000,56319.526910,2456319.526910,2456319.526331,2456319.531785,2456319.532549,1.297644,50.348060,-19.930000,100.000000,6.509110,29.672297,19.650530,18.000000,32.000000,48.000000,0.139631,0.088745,0.138760,0.747205,0.458461,0.057792,0.829471,0.983908,0.000207,0.000198,0.000228,0.000698,0.000449,0.000180,0.000527,0.000600,675.776140,448.987958,609.371572,1070.682021,1020.434534,321.125941,1573.988004,1639.454932,8400229.577245,4012.630892,2401.258347,2016.188125,2401.758347,2080.311875,6.509098,29.672292,1172935.400729,1017.876020,1642.766920,713.999890,5421.000000,1152.336216,1163.013901,3469.000000,20.257241,17.792724,17.478059,18.107389,68.398597,0.997647,2432.318021,2346.170713,2432.818021,1750.329287,6.508844,29.707561,684712.088436,1488.727506,459.931106,3772.000000,672.687120,1160.967723,19.948009,17.587002,17.277710,17.896295,67.620239,0.997548,2745.778988,2696.662027,2746.278988,1399.837973,6.506274,29.745025,1023581.678975,1600.247806,639.639483,5174.000000,1005.605456,1160.993205,19.347268,17.240113,17.013849,17.466378,66.233627,0.998489,2163.333900,1601.428536,2163.833900,2495.071464,6.511050,29.627978,3592419.420930,2266.147635,1585.253920,13647.000000,3529.329065,1172.389928,20.348420,17.740935,17.512579,17.969291,62.517221,0.997990,2964.459820,989.566542,2964.959820,3106.933458,6.504505,29.562540,2640577.127311,2047.755311,1289.498366,10542.000000,2594.203101,1170.291207,19.221717,17.071301,16.846287,17.296316,57.189626,0.995923,1206.204353,2258.388536,1206.704353,1838.111464,6.518904,29.697963,458939.261593,1412.578184,324.894768,2958.000000,450.879334,1163.239111,19.610541,17.396096,16.906563,17.885628,70.971933,0.994899,1160.447411,3180.025786,1160.947411,916.474214,6.519310,29.796424,6967743.736856,2918.674037,2387.297673,30629.000000,6845.375666,1178.706525,18.279016,16.682221,16.383407,16.981036,58.278027,0.993583,1892.638833,1262.865362,1893.138833,2833.634638,6.513271,29.591807,8265053.039279,3134.956884,2636.416814,29491.000000,8119.901519,1187.042952,20.192028,17.629274,17.382434,17.876113,68.434555,0.998528
11,WASP-12b_00050_clean.fits,11.000000,0.000000,56319.528289,2456319.528289,2456319.527710,2456319.533164,2456319.533928,1.290423,50.738116,-19.960000,100.000000,6.509110,29.672297,19.140576,18.000000,32.000000,48.000000,0.139900,0.089264,0.138553,0.744740,0.460068,0.057540,0.828902,0.984020,0.000207,0.000197,0.000227,0.000694,0.000450,0.000180,0.000526,0.000599,676.213517,452.053913,610.518876,1072.410024,1023.074855,320.552066,1575.094897,1641.524693,8403274.667127,4006.917947,2399.798022,2012.783381,2400.298022,2083.716619,6.509097,29.672308,1175617.589892,1017.876020,1645.676487,714.367374,5519.000000,1154.971300,1159.969262,3446.000000,19.805724,17.420487,17.393146,17.447828,46.895549,0.997746,2430.897647,2342.805736,2431.397647,1753.694264,6.508842,29.707583,688636.323599,1486.700197,463.197842,3811.000000,676.542438,1158.476612,19.451509,17.296676,17.292573,17.300778,45.298838,0.997932,2744.245964,2693.251817,2744.745964,1403.248183,6.506273,29.745044,1022614.425028,1595.701889,640.855558,5185.000000,1004.655189,1158.285099,18.829093,16.963502,17.052529,16.874476,38.146675,0.998038,2161.799805,1598.006251,2162.299805,2498.493749,6.511049,29.627993,3586927.566427,2263.768255,1584.494154,13401.000000,3523.933659,1169.511748,20.020206,17.514105,17.591003,17.437207,39.402472,0.997954,2962.965424,986.167834,2963.465424,3110.332166,6.504504,29.562552,2647876.615171,2046.045428,1294.143609,11110.000000,2601.374395,1167.762428,18.682643,16.759191,16.792457,16.725925,43.443916,0.994653,1204.490194,2255.015454,1204.990194,1841.484546,6.518904,29.697982,457219.736902,1409.929372,324.285561,3009.000000,449.190007,1159.887303,18.958004,17.041561,16.951302,17.131821,50.104220,0.996428,1158.753750,3176.648332,1159.253750,919.851668,6.519310,29.796444,6965489.891608,2919.783069,2385.618975,30194.000000,6843.161403,1176.401070,17.700453,16.484857,16.550128,16.419587,42.346026,0.992673,1891.040884,1259.447248,1891.540884,2837.052752,6.513270,29.591824,8268989.695510,3135.103780,2637.548954,29897.000000,8123.769040,1182.961114,19.676976,17.327534,17.405660,17.249409,37.221986,0.998869
